STATION,DATE,HourlyDryBulbTemperature
72365623049,8/2/21 15:53,78
72365623049,8/2/21 16:53,78
72365623049,8/2/21 17:53,76
72365623049,8/2/21 18:53,73
72365623049,8/2/21 19:08,72
72365623049,8/2/21 19:51,72
72365623049,8/2/21 19:53,71
72365623049,8/2/21 20:53,68
72365623049,8/2/21 21:53,66
72365623049,8/2/21 22:53,65
72365623049,8/2/21 23:53,63
72365623049,8/2/21 23:59,
72365623049,8/3/21 0:53,63
72365623049,8/3/21 1:53,62
72365623049,8/3/21 2:53,61
72365623049,8/3/21 3:53,60
72365623049,8/3/21 4:53,57
72365623049,8/3/21 5:53,58
72365623049,8/3/21 6:53,63
72365623049,8/3/21 7:53,69
72365623049,8/3/21 8:53,74
72365623049,8/3/21 9:53,75
72365623049,8/3/21 10:53,77
72365623049,8/3/21 11:26,79
72365623049,8/3/21 11:42,80
72365623049,8/3/21 11:49,81
72365623049,8/3/21 11:53,81
72365623049,8/3/21 12:21,78
72365623049,8/3/21 12:31,77
72365623049,8/3/21 12:37,78
72365623049,8/3/21 12:53,76
72365623049,8/3/21 13:51,75
72365623049,8/3/21 13:53,76
72365623049,8/3/21 14:53,83
72365623049,8/3/21 15:53,82
72365623049,8/3/21 16:53,86
72365623049,8/3/21 17:18,79
72365623049,8/3/21 17:28,69
72365623049,8/3/21 17:33,67
72365623049,8/3/21 17:40,67
72365623049,8/3/21 17:51,70
72365623049,8/3/21 17:53,69
72365623049,8/3/21 18:06,67
72365623049,8/3/21 18:37,67
72365623049,8/3/21 18:53,67
72365623049,8/3/21 19:53,65
72365623049,8/3/21 20:53,66
72365623049,8/3/21 21:53,62
72365623049,8/3/21 22:53,62
72365623049,8/3/21 23:53,59
72365623049,8/3/21 23:59,
72365623049,8/4/21 0:53,60
72365623049,8/4/21 1:53,58
72365623049,8/4/21 2:53,58
72365623049,8/4/21 3:53,59
72365623049,8/4/21 4:53,55
72365623049,8/4/21 5:53,59
72365623049,8/4/21 6:53,62
72365623049,8/4/21 7:53,66
72365623049,8/4/21 8:53,70
72365623049,8/4/21 9:53,73
72365623049,8/4/21 10:53,78
72365623049,8/4/21 11:53,83
72365623049,8/4/21 12:53,84
72365623049,8/4/21 13:53,85
72365623049,8/4/21 14:53,84
72365623049,8/4/21 15:26,79
72365623049,8/4/21 15:50,75
72365623049,8/4/21 15:53,76
72365623049,8/4/21 16:14,79
72365623049,8/4/21 16:53,78
72365623049,8/4/21 17:53,74
72365623049,8/4/21 18:53,71
72365623049,8/4/21 19:53,69
72365623049,8/4/21 20:53,67
72365623049,8/4/21 21:53,66
72365623049,8/4/21 22:53,65
72365623049,8/4/21 23:53,63
72365623049,8/4/21 23:59,
72365623049,8/5/21 0:53,61
72365623049,8/5/21 1:53,58
72365623049,8/5/21 2:53,61
72365623049,8/5/21 3:53,60
72365623049,8/5/21 4:53,55
72365623049,8/5/21 5:53,56
72365623049,8/5/21 6:53,64
72365623049,8/5/21 7:53,70
72365623049,8/5/21 8:53,74
72365623049,8/5/21 9:53,77
72365623049,8/5/21 10:53,80
72365623049,8/5/21 11:53,84
72365623049,8/5/21 12:53,84
72365623049,8/5/21 13:53,85
72365623049,8/5/21 14:53,88
72365623049,8/5/21 15:53,88
72365623049,8/5/21 16:53,87
72365623049,8/5/21 17:53,85
72365623049,8/5/21 18:53,81
72365623049,8/5/21 19:53,77
72365623049,8/5/21 20:53,74
72365623049,8/5/21 21:53,71
72365623049,8/5/21 22:53,70
72365623049,8/5/21 23:53,70
72365623049,8/5/21 23:59,
72365623049,8/6/21 0:53,67
72365623049,8/6/21 1:53,65
72365623049,8/6/21 2:53,61
72365623049,8/6/21 3:53,60
72365623049,8/6/21 4:53,59
72365623049,8/6/21 5:53,58
72365623049,8/6/21 6:53,68
72365623049,8/6/21 7:53,74
72365623049,8/6/21 8:53,77
72365623049,8/6/21 9:53,82
72365623049,8/6/21 10:53,83
72365623049,8/6/21 11:53,86
72365623049,8/6/21 12:53,91
72365623049,8/6/21 13:53,89
72365623049,8/6/21 14:53,84
72365623049,8/6/21 15:43,85
72365623049,8/6/21 15:53,85
72365623049,8/6/21 16:53,89
72365623049,8/6/21 17:53,87
72365623049,8/6/21 18:53,81
72365623049,8/6/21 19:53,75
72365623049,8/6/21 20:53,74
72365623049,8/6/21 21:53,72
72365623049,8/6/21 22:53,73
72365623049,8/6/21 23:53,74
72365623049,8/6/21 23:59,
72365623049,8/7/21 0:53,72
72365623049,8/7/21 1:53,70
72365623049,8/7/21 2:53,68
72365623049,8/7/21 3:53,69
72365623049,8/7/21 4:53,66
72365623049,8/7/21 5:53,66
72365623049,8/7/21 6:53,72
72365623049,8/7/21 7:53,76
72365623049,8/7/21 8:53,80
72365623049,8/7/21 9:53,83
72365623049,8/7/21 10:53,88
72365623049,8/7/21 11:53,90
72365623049,8/7/21 12:53,92
72365623049,8/7/21 13:53,93
72365623049,8/7/21 14:53,92
72365623049,8/7/21 15:53,90
72365623049,8/7/21 16:53,88
72365623049,8/7/21 17:53,85
72365623049,8/7/21 18:53,79
72365623049,8/7/21 19:53,74
72365623049,8/7/21 20:53,68
72365623049,8/7/21 21:53,66
72365623049,8/7/21 22:53,63
72365623049,8/7/21 23:53,65
72365623049,8/7/21 23:59,
72365623049,8/8/21 0:53,60
72365623049,8/8/21 1:53,53
72365623049,8/8/21 2:53,51
