"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-05","57","23","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-06","61","27","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-07","61","24","48"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-08","62","31","47"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-09","62","24","46"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-10","64","25","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-11","49","28","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-12","52","17","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-13","61","21","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-14","62","26","34"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-15","63","27","41"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-16","47","20","34"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-17","42","16","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-18","53","22","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-19","61","26","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-20","62","21","38"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-21","49","23","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-22","42","18","19"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-23","24","10","20"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-24","37","10","27"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-25","48","22","33"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-26","33","17","18"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-27","23","14","17"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-28","35","15","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-01","54","32",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-02","49","29",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-03-03","48","29","34"
