STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72365623049,2014-09-11T23:53:00,FM-15,7,57
72365623049,2014-09-11T23:59:00,SOD  ,6,
72365623049,2014-09-12T00:53:00,FM-15,7,55
72365623049,2014-09-12T01:53:00,FM-15,7,58
72365623049,2014-09-12T02:53:00,FM-15,7,58
72365623049,2014-09-12T03:53:00,FM-15,7,57
72365623049,2014-09-12T04:53:00,FM-15,7,56
72365623049,2014-09-12T05:53:00,FM-15,7,53
72365623049,2014-09-12T06:53:00,FM-15,7,58
72365623049,2014-09-12T07:53:00,FM-15,7,64
72365623049,2014-09-12T08:53:00,FM-15,7,62
72365623049,2014-09-12T09:53:00,FM-15,7,62
72365623049,2014-09-12T10:53:00,FM-15,7,65
72365623049,2014-09-12T11:53:00,FM-15,7,66
72365623049,2014-09-12T12:53:00,FM-15,7,65
72365623049,2014-09-12T13:53:00,FM-15,7,63
72365623049,2014-09-12T14:53:00,FM-15,7,62
72365623049,2014-09-12T15:29:00,FM-16,7,61
72365623049,2014-09-12T15:53:00,FM-15,7,58
72365623049,2014-09-12T16:53:00,FM-15,7,55
72365623049,2014-09-12T17:53:00,FM-15,7,53
72365623049,2014-09-12T18:53:00,FM-15,7,52
72365623049,2014-09-12T19:36:00,FM-16,7,50
72365623049,2014-09-12T19:51:00,FM-16,6,50
72365623049,2014-09-12T19:53:00,FM-15,7,49
72365623049,2014-09-12T20:53:00,FM-15,7,48
72365623049,2014-09-12T21:53:00,FM-15,7,47
72365623049,2014-09-12T22:53:00,FM-15,7,47
72365623049,2014-09-12T23:53:00,FM-15,7,46
72365623049,2014-09-12T23:59:00,SOD  ,6,
72365623049,2014-09-13T00:53:00,FM-15,7,46
72365623049,2014-09-13T01:53:00,FM-15,7,46
72365623049,2014-09-13T02:53:00,FM-15,7,46
72365623049,2014-09-13T03:32:00,FM-16,7,45
72365623049,2014-09-13T03:53:00,FM-15,7,45
72365623049,2014-09-13T04:53:00,FM-15,7,45
72365623049,2014-09-13T05:53:00,FM-15,7,46
72365623049,2014-09-13T06:53:00,FM-15,7,47
72365623049,2014-09-13T07:53:00,FM-15,7,48
72365623049,2014-09-13T08:53:00,FM-15,7,50
72365623049,2014-09-13T09:53:00,FM-15,7,53
72365623049,2014-09-13T10:53:00,FM-15,7,59
72365623049,2014-09-13T11:53:00,FM-15,7,67
72365623049,2014-09-13T12:53:00,FM-15,7,68
72365623049,2014-09-13T13:53:00,FM-15,7,72
72365623049,2014-09-13T14:53:00,FM-15,7,74
72365623049,2014-09-13T15:53:00,FM-15,7,74
72365623049,2014-09-13T16:53:00,FM-15,7,73
72365623049,2014-09-13T17:53:00,FM-15,7,70
72365623049,2014-09-13T18:53:00,FM-15,7,64
72365623049,2014-09-13T19:53:00,FM-15,7,64
72365623049,2014-09-13T20:53:00,FM-15,7,64
72365623049,2014-09-13T21:53:00,FM-15,7,62
72365623049,2014-09-13T22:53:00,FM-15,7,59
72365623049,2014-09-13T23:53:00,FM-15,7,57
72365623049,2014-09-13T23:59:00,SOD  ,6,
72365623049,2014-09-14T00:53:00,FM-15,7,58
72365623049,2014-09-14T01:53:00,FM-15,7,56
72365623049,2014-09-14T02:53:00,FM-15,7,50
72365623049,2014-09-14T03:53:00,FM-15,7,49
72365623049,2014-09-14T04:53:00,FM-15,7,50
72365623049,2014-09-14T05:53:00,FM-15,7,46
72365623049,2014-09-14T06:53:00,FM-15,7,56
72365623049,2014-09-14T07:53:00,FM-15,7,63
72365623049,2014-09-14T08:53:00,FM-15,7,67
72365623049,2014-09-14T09:53:00,FM-15,7,71
72365623049,2014-09-14T10:53:00,FM-15,7,73
72365623049,2014-09-14T11:53:00,FM-15,7,75
72365623049,2014-09-14T12:53:00,FM-15,7,77
72365623049,2014-09-14T13:53:00,FM-15,7,80
72365623049,2014-09-14T14:53:00,FM-15,7,79
72365623049,2014-09-14T15:53:00,FM-15,7,79
72365623049,2014-09-14T16:53:00,FM-15,7,77
72365623049,2014-09-14T17:53:00,FM-15,7,72
72365623049,2014-09-14T18:53:00,FM-15,7,67
72365623049,2014-09-14T19:53:00,FM-15,7,64
72365623049,2014-09-14T20:53:00,FM-15,7,63
72365623049,2014-09-14T21:53:00,FM-15,7,62
72365623049,2014-09-14T22:53:00,FM-15,7,61
72365623049,2014-09-14T23:53:00,FM-15,7,59
72365623049,2014-09-14T23:59:00,SOD  ,6,
72365623049,2014-09-15T00:53:00,FM-15,7,58
72365623049,2014-09-15T01:53:00,FM-15,7,56
72365623049,2014-09-15T02:53:00,FM-15,7,55
72365623049,2014-09-15T03:53:00,FM-15,7,55
72365623049,2014-09-15T04:53:00,FM-15,7,55
72365623049,2014-09-15T05:53:00,FM-15,7,53
72365623049,2014-09-15T06:53:00,FM-15,7,58
72365623049,2014-09-15T07:53:00,FM-15,7,65
72365623049,2014-09-15T08:53:00,FM-15,7,69
72365623049,2014-09-15T09:53:00,FM-15,7,74
72365623049,2014-09-15T10:53:00,FM-15,7,78
72365623049,2014-09-15T11:53:00,FM-15,7,79
72365623049,2014-09-15T12:53:00,FM-15,7,83
72365623049,2014-09-15T13:53:00,FM-15,7,83
72365623049,2014-09-15T14:05:00,FM-16,7,80
72365623049,2014-09-15T14:18:00,FM-16,7,73
72365623049,2014-09-15T14:33:00,FM-16,7,73
72365623049,2014-09-15T14:41:00,FM-16,7,74
72365623049,2014-09-15T14:53:00,FM-15,7,75
72365623049,2014-09-15T15:14:00,FM-16,7,75
72365623049,2014-09-15T15:21:00,FM-16,7,75
72365623049,2014-09-15T15:48:00,FM-16,7,72
72365623049,2014-09-15T15:53:00,FM-15,7,72
72365623049,2014-09-15T16:39:00,FM-16,7,73
72365623049,2014-09-15T16:53:00,FM-15,7,73
72365623049,2014-09-15T17:53:00,FM-15,7,71
72365623049,2014-09-15T18:53:00,FM-15,7,68
72365623049,2014-09-15T19:53:00,FM-15,7,66
72365623049,2014-09-15T20:53:00,FM-15,7,65
72365623049,2014-09-15T21:53:00,FM-15,7,63
72365623049,2014-09-15T22:53:00,FM-15,7,62
72365623049,2014-09-15T23:53:00,FM-15,7,60
72365623049,2014-09-15T23:59:00,SOD  ,6,
72365623049,2014-09-16T00:53:00,FM-15,7,59
72365623049,2014-09-16T01:53:00,FM-15,7,59
72365623049,2014-09-16T02:53:00,FM-15,7,60
72365623049,2014-09-16T03:53:00,FM-15,7,60
72365623049,2014-09-16T04:53:00,FM-15,7,60
72365623049,2014-09-16T05:53:00,FM-15,7,58
72365623049,2014-09-16T06:53:00,FM-15,7,59
72365623049,2014-09-16T07:22:00,FM-16,7,60
72365623049,2014-09-16T07:29:00,FM-16,7,60
72365623049,2014-09-16T07:53:00,FM-15,7,62
72365623049,2014-09-16T08:53:00,FM-15,7,64
72365623049,2014-09-16T09:53:00,FM-15,7,67
72365623049,2014-09-16T10:53:00,FM-15,7,68
72365623049,2014-09-16T11:53:00,FM-15,7,69
72365623049,2014-09-16T12:53:00,FM-15,7,73
72365623049,2014-09-16T13:53:00,FM-15,7,74
72365623049,2014-09-16T14:53:00,FM-15,7,76
72365623049,2014-09-16T15:53:00,FM-15,7,76
72365623049,2014-09-16T16:53:00,FM-15,7,72
72365623049,2014-09-16T17:53:00,FM-15,7,68
72365623049,2014-09-16T18:53:00,FM-15,7,64
72365623049,2014-09-16T19:53:00,FM-15,7,63
72365623049,2014-09-16T20:53:00,FM-15,7,61
72365623049,2014-09-16T21:53:00,FM-15,7,60
72365623049,2014-09-16T22:53:00,FM-15,7,59
72365623049,2014-09-16T23:53:00,FM-15,7,58
72365623049,2014-09-16T23:59:00,SOD  ,6,
72365623049,2014-09-17T00:53:00,FM-15,7,57
72365623049,2014-09-17T01:53:00,FM-15,7,58
72365623049,2014-09-17T02:53:00,FM-15,7,58
72365623049,2014-09-17T03:53:00,FM-15,7,57
72365623049,2014-09-17T04:53:00,FM-15,7,56
72365623049,2014-09-17T05:53:00,FM-15,7,55
72365623049,2014-09-17T06:53:00,FM-15,7,57
72365623049,2014-09-17T07:53:00,FM-15,7,59
72365623049,2014-09-17T08:53:00,FM-15,7,61
72365623049,2014-09-17T09:53:00,FM-15,7,62
72365623049,2014-09-17T10:53:00,FM-15,7,64
72365623049,2014-09-17T11:53:00,FM-15,7,63
72365623049,2014-09-17T12:53:00,FM-15,7,64
72365623049,2014-09-17T13:53:00,FM-15,7,65
72365623049,2014-09-17T14:53:00,FM-15,7,65
72365623049,2014-09-17T15:53:00,FM-15,7,66
72365623049,2014-09-17T16:53:00,FM-15,7,66
72365623049,2014-09-17T17:53:00,FM-15,7,66
72365623049,2014-09-17T18:53:00,FM-15,7,65
72365623049,2014-09-17T19:53:00,FM-15,7,62
72365623049,2014-09-17T20:53:00,FM-15,7,63
72365623049,2014-09-17T21:53:00,FM-15,7,62
72365623049,2014-09-17T22:53:00,FM-15,7,57
72365623049,2014-09-17T23:53:00,FM-15,7,54
72365623049,2014-09-17T23:59:00,SOD  ,6,
72365623049,2014-09-18T00:53:00,FM-15,7,51
72365623049,2014-09-18T01:53:00,FM-15,7,52
72365623049,2014-09-18T02:53:00,FM-15,7,52
72365623049,2014-09-18T03:53:00,FM-15,7,51
72365623049,2014-09-18T04:53:00,FM-15,7,49
72365623049,2014-09-18T05:53:00,FM-15,7,50
72365623049,2014-09-18T06:53:00,FM-15,7,54
72365623049,2014-09-18T07:53:00,FM-15,7,60
72365623049,2014-09-18T08:53:00,FM-15,7,66
72365623049,2014-09-18T09:53:00,FM-15,7,71
72365623049,2014-09-18T10:53:00,FM-15,7,76
72365623049,2014-09-18T11:53:00,FM-15,7,79
72365623049,2014-09-18T12:53:00,FM-15,7,80
72365623049,2014-09-18T13:53:00,FM-15,7,82
72365623049,2014-09-18T14:53:00,FM-15,7,82
72365623049,2014-09-18T15:53:00,FM-15,7,82
72365623049,2014-09-18T16:53:00,FM-15,7,79
72365623049,2014-09-18T17:53:00,FM-15,7,74
72365623049,2014-09-18T18:53:00,FM-15,7,70
72365623049,2014-09-18T19:53:00,FM-15,7,67
72365623049,2014-09-18T20:53:00,FM-15,7,65
72365623049,2014-09-18T21:53:00,FM-15,7,64
72365623049,2014-09-18T22:53:00,FM-15,7,61
72365623049,2014-09-18T23:21:00,FM-16,7,61
